Date,Openings,Hires,Labor_Force,Unemployment_Rate,Hourly_Wage,LH_Employment,State
2015-01-01,587.0,497.0,18818212.0,6.8,28.14,13692.9,CA
2015-02-01,605.0,520.0,18826972.0,6.7,28.24,13777.4,CA
2015-03-01,584.0,517.0,18838028.0,6.6,28.12,13852.2,CA
2015-04-01,584.0,548.0,18848322.0,6.5,28.01,13915.3,CA
2015-05-01,596.0,515.0,18852828.0,6.4,28.06,13977.4,CA
2015-06-01,568.0,558.0,18848420.0,6.3,27.96,13992.8,CA
2015-07-01,644.0,547.0,18839426.0,6.1,28.0,13902.4,CA
2015-08-01,541.0,543.0,18832394.0,6.0,28.16,13982.5,CA
2015-09-01,575.0,576.0,18832610.0,5.9,27.97,14054.6,CA
2015-10-01,607.0,572.0,18846578.0,5.8,28.21,14246.1,CA
2015-11-01,569.0,567.0,18875380.0,5.8,28.5,14352.3,CA
2015-12-01,600.0,572.0,18910415.0,5.7,28.37,14384.3,CA
2016-01-01,649.0,588.0,18943234.0,5.7,28.61,14117.7,CA
2016-02-01,633.0,591.0,18970382.0,5.6,28.67,14214.0,CA
2016-03-01,667.0,521.0,18990181.0,5.6,28.57,14240.7,CA
2016-04-01,660.0,557.0,19006193.0,5.5,28.74,14366.8,CA
2016-05-01,624.0,603.0,19024146.0,5.5,29.08,14407.0,CA
2016-06-01,623.0,567.0,19044461.0,5.5,28.7,14380.1,CA
2016-07-01,611.0,574.0,19064645.0,5.5,28.83,14275.5,CA
2016-08-01,628.0,569.0,19082707.0,5.5,28.96,14344.1,CA
2016-09-01,676.0,525.0,19097439.0,5.5,29.22,14432.5,CA
2016-10-01,664.0,536.0,19107156.0,5.5,29.6,14585.5,CA
2016-11-01,749.0,569.0,19113583.0,5.4,29.33,14690.9,CA
2016-12-01,654.0,583.0,19121219.0,5.4,29.51,14708.1,CA
2017-01-01,608.0,613.0,19132994.0,5.3,29.94,14422.7,CA
2017-02-01,618.0,560.0,19148790.0,5.1,29.8,14525.0,CA
2017-03-01,621.0,562.0,19166879.0,5.0,29.62,14595.7,CA
2017-04-01,636.0,535.0,19187319.0,5.0,30.07,14642.3,CA
2017-05-01,660.0,548.0,19207735.0,4.9,29.82,14716.3,CA
2017-06-01,699.0,582.0,19224877.0,4.8,29.71,14741.7,CA
2017-07-01,697.0,548.0,19237228.0,4.8,30.21,14571.2,CA
2017-08-01,698.0,551.0,19241455.0,4.8,29.93,14639.8,CA
2017-09-01,665.0,558.0,19237249.0,4.7,30.27,14728.7,CA
2017-10-01,702.0,541.0,19228301.0,4.6,30.69,14887.0,CA
2017-11-01,672.0,559.0,19218639.0,4.5,30.33,15006.0,CA
2017-12-01,719.0,564.0,19214570.0,4.5,30.48,15033.1,CA
2018-01-01,728.0,536.0,19222096.0,4.4,30.63,14756.6,CA
2018-02-01,743.0,565.0,19243453.0,4.3,30.66,14856.1,CA
2018-03-01,732.0,607.0,19272324.0,4.3,30.65,14910.7,CA
2018-04-01,744.0,580.0,19296900.0,4.2,30.91,14937.6,CA
2018-05-01,758.0,566.0,19310247.0,4.2,30.71,14982.7,CA
2018-06-01,740.0,547.0,19313643.0,4.2,30.64,15016.5,CA
2018-07-01,789.0,555.0,19311140.0,4.2,31.06,14833.4,CA
2018-08-01,795.0,585.0,19311464.0,4.2,30.8,14930.2,CA
2018-09-01,778.0,557.0,19319744.0,4.2,31.33,14985.3,CA
2018-10-01,707.0,628.0,19336652.0,4.3,31.28,15160.9,CA
2018-11-01,796.0,592.0,19357820.0,4.3,31.36,15278.9,CA
2018-12-01,767.0,558.0,19375766.0,4.3,31.99,15304.5,CA
2019-01-01,757.0,559.0,19383306.0,4.3,32.08,14999.4,CA
2019-02-01,737.0,505.0,19379073.0,4.3,32.15,15095.2,CA
2019-03-01,761.0,548.0,19368541.0,4.2,32.11,15138.5,CA
2019-04-01,774.0,576.0,19360324.0,4.1,32.27,15163.1,CA
2019-05-01,752.0,608.0,19359399.0,4.0,32.13,15211.0,CA
2019-06-01,831.0,597.0,19368378.0,4.0,32.43,15232.6,CA
2019-07-01,771.0,583.0,19386987.0,4.0,32.38,15083.5,CA
2019-08-01,740.0,623.0,19413427.0,4.0,32.4,15166.5,CA
2019-09-01,761.0,601.0,19447796.0,4.0,32.9,15201.0,CA
2019-10-01,803.0,589.0,19487390.0,4.0,32.72,15381.7,CA
2019-11-01,756.0,599.0,19530764.0,4.1,32.87,15539.8,CA
2019-12-01,753.0,620.0,19571469.0,4.1,33.22,15535.9,CA
2020-01-01,792.0,654.0,19603988.0,4.3,33.2,15306.1,CA
2020-02-01,776.0,638.0,19628098.0,4.4,33.59,15405.7,CA
2020-03-01,664.0,551.0,19310026.0,5.5,33.54,15260.2,CA
2020-04-01,452.0,457.0,18698851.0,16.1,34.79,13001.6,CA
2020-05-01,603.0,1026.0,18560581.0,15.8,34.61,13094.3,CA
2020-06-01,627.0,797.0,19030336.0,13.8,34.2,13540.6,CA
2020-07-01,731.0,712.0,19067483.0,13.1,34.43,13475.8,CA
2020-08-01,654.0,631.0,18910905.0,11.8,34.84,13593.8,CA
2020-09-01,666.0,707.0,18658461.0,9.9,34.58,13761.2,CA
2020-10-01,685.0,662.0,18609671.0,9.3,34.74,14117.0,CA
2020-11-01,711.0,579.0,18645846.0,9.0,35.18,14270.1,CA
2020-12-01,676.0,575.0,18707388.0,9.0,35.5,14154.9,CA
2021-01-01,694.0,574.0,18763665.0,8.7,35.63,13767.2,CA
